First Name,Last Name,Cmp,Att,PYds,P1D,IAY,CAY,PYAC,Prss%,Y/A,AY/A,Y/C,Rate,NY/A,ANY/A,RYds,R1D,YBC,YBC/Att,RYAC,RTD,TD%,TD,INT,SACKS,SACKYRD,Fumbles
Malik,Willis,12.500,16.500,162.000,6.000,107.500,60.500,101.500,0.092,9.650,10.910,12.960,123.850,8.667,9.778,57.000,2.500,46.000,7.700,11.000,0.500,0.061,1.000,0.000,1.500,6.000,0.000
Marcus,Mariota,18.000,23.000,205.000,12.000,241.000,155.000,50.000,0.115,8.900,10.650,11.389,132.800,8.375,10.042,34.000,3.000,29.000,2.600,5.000,0.000,0.087,2.000,0.000,1.000,4.000,0.000
Mason,Rudolph,22.333,37.000,240.333,12.667,289.667,150.000,90.333,0.248,6.567,5.677,10.761,77.100,5.957,5.095,20.333,2.000,17.667,4.233,2.667,0.333,0.036,1.333,1.333,1.667,10.000,1.333
Matthew,Stafford,18.667,29.000,240.333,11.667,240.333,136.667,103.667,0.214,8.433,10.347,12.875,119.067,7.011,8.713,6.000,1.333,5.000,5.000,1.000,0.000,0.092,2.667,0.000,2.333,20.667,0.333
Patrick,Mahomes,25.333,38.667,257.000,14.667,281.000,129.667,127.333,0.347,6.633,7.003,10.145,98.100,5.258,5.648,21.333,1.000,20.000,6.450,1.333,0.000,0.060,2.333,0.667,4.000,32.667,0.667
Russell,Wilson,24.333,34.000,296.333,12.333,230.333,137.333,159.000,0.331,8.733,8.697,12.178,103.533,7.491,7.401,4.667,1.000,9.667,2.333,0.333,0.000,0.039,1.333,0.667,3.333,16.667,0.333
Sam,Darnold,21.000,32.333,270.333,12.333,267.667,152.000,118.333,0.239,8.333,9.563,12.873,111.567,7.056,8.178,13.000,2.000,9.333,1.767,3.667,0.333,0.062,2.000,0.000,3.333,18.667,0.333
Spencer,Rattler,19.667,33.000,190.333,7.667,236.333,96.333,94.000,0.194,5.833,5.247,9.678,71.200,4.407,3.787,20.333,1.000,5.667,1.333,14.667,0.000,0.010,0.333,0.667,4.667,24.333,1.000
Trevor,Lawrence,17.333,27.667,223.333,10.667,236.000,136.000,87.333,0.116,8.267,7.557,12.885,89.033,7.523,6.651,10.333,2.000,6.667,2.567,3.667,1.000,0.036,1.000,1.000,1.000,7.667,0.333
Tua,Tagovailoa,31.333,40.667,323.333,19.000,239.000,166.000,157.333,0.124,7.933,9.467,10.319,123.633,6.985,8.359,1.333,0.000,1.333,0.767,0.000,0.000,0.074,3.000,0.000,3.000,18.333,0.333
Will,Levis,17.667,30.667,261.667,8.333,305.000,147.667,114.000,0.299,8.933,8.967,14.811,97.500,6.617,6.710,8.333,1.667,7.333,0.633,1.000,0.000,0.054,1.667,0.667,5.000,25.667,0.667
Tommy,DeVito,21.000,31.000,189.000,11.000,201.000,103.000,86.000,0.205,6.100,6.100,9.000,83.900,4.743,4.743,32.000,1.000,28.000,4.000,4.000,0.000,0.000,0.000,0.000,4.000,23.000,0.000
Drew,Lock,21.000,32.000,178.000,8.000,180.000,84.000,94.000,0.317,5.600,4.160,8.476,66.900,3.447,2.263,57.000,3.000,29.000,7.300,28.000,1.000,0.000,0.000,1.000,6.000,47.000,1.000
